DATE,TIME,LATITUDE,NS,LONGITUDE,EW,NAME,MANUAL,LONG
09/08/2016,22:30:29,52.66753,N,1.06856,W,20160809/No_ID_0_20160809_223029_000,NOISE,-1.06856
09/08/2016,22:30:34,52.66753,N,1.06856,W,20160809/No_ID_0_20160809_223034_000,NOISE,-1.06856
09/08/2016,22:30:40,52.66753,N,1.06856,W,20160809/No_ID_0_20160809_223040_000,NOISE,-1.06856
09/08/2016,22:30:46,52.66753,N,1.06856,W,20160809/No_ID_0_20160809_223046_000,NOISE,-1.06856
09/08/2016,22:30:53,52.66753,N,1.06856,W,20160809/No_ID_0_20160809_223053_000,NOISE,-1.06856
09/08/2016,22:30:59,52.66753,N,1.06856,W,20160809/No_ID_0_20160809_223059_000,NOISE,-1.06856
09/08/2016,22:31:06,52.6675,N,1.06841,W,20160809/No_ID_0_20160809_223106_000,NOISE,-1.06841
09/08/2016,22:31:14,52.6675,N,1.06826,W,20160809/No_ID_0_20160809_223114_000,NOISE,-1.06826
09/08/2016,22:31:21,52.66751,N,1.06811,W,20160809/No_ID_0_20160809_223121_000,NOISE,-1.06811
09/08/2016,22:31:29,52.66745,N,1.06782,W,20160809/No_ID_0_20160809_223129_000,NoID ,-1.06782
09/08/2016,22:31:36,52.66745,N,1.06782,W,20160809/No_ID_0_20160809_223136_000,NOISE,-1.06782
09/08/2016,22:31:47,52.66737,N,1.06755,W,20160809/No_ID_0_20160809_223147_000,NOISE,-1.06755
09/08/2016,22:31:58,52.66729,N,1.06727,W,20160809/No_ID_0_20160809_223158_000,NOISE,-1.06727
09/08/2016,22:32:01,52.66729,N,1.06727,W,20160809/No_ID_0_20160809_223201_000,NOISE,-1.06727
